district,schl1,enrollment,asian_pct,black_pct,hispanic_pct,white_pct,pct_frl,ed_lesshs,positive_env,mathscore_gain_std
5914,6320,241,0.006920415,0,0,0.989619374,0.161512025,18.5,0,-1.045121325
239,155,514,0.017142856,0.179047614,0.032380953,0.735238075,0.349462375,16,1,-0.846501236
4319,3514,258,0,0,0.019083969,0.938931286,0.653198659,20.39999962,0,-0.146986051
3449,2842,320,0,0.015822785,0,0.958860755,0.226837054,23.29999924,0,-0.06412597
4209,3428,472,0.030425964,0,0.010141988,0.959432065,0,7.699999809,0,2.243462407
5929,6350,320,0,0,0,0.99701494,0.326283991,20.39999962,1,-0.929303566
3629,3030,247,0.003861004,0,0.003861004,0.961389959,0.194267511,15,0,0.798839438
4714,4442,521,0.00330033,0.11221122,0.364686459,0.407590747,0.479245275,24.39999962,1,-0.475945855
4349,3618,618,0.003095975,0,0.027863776,0.936532497,0.453900702,15.89999962,0,0.36001666
4149,3394,625,0.002159827,0.002159827,0.015118791,0.958963275,0.165384617,14.80000019,0,0.248639252
4714,4464,277,0.006849315,0.1369863,0.294520557,0.523972631,0.474820137,24.39999962,1,-0.973963077
4419,3658,427,0,0.004385965,0.168859646,0.826754391,0.43325527,17.5,0,-0.364775609
4664,3906,506,0.010373444,0.002074689,0.056016598,0.912863076,0.13653136,12.39999962,0,-0.366378164
1604,1190,378,0.005263158,0.002631579,0,0.981578946,0.338753387,21.79999924,0,-0.724130862
4664,3896,453,0.007920792,0.007920792,0.017821781,0.932673275,0.161764707,12.39999962,1,0.526258082
1014,858,423,0.004784689,0.160287082,0.011961723,0.715310991,0.395555563,20.5,0,-0.351934689
1014,748,476,0.009541985,0.143129766,0.032442749,0.734732807,0.25,20.5,0,-0.51621716
239,263,621,0.045662101,0.242009133,0.070015222,0.563165903,0.392366409,16,0,-0.60842096
259,78,455,0,0.00896861,0.006726457,0.948430479,0.211934164,16.89999962,1,-0.082461119
5279,5106,260,0,0.067729086,0.027888447,0.860557795,0.584362149,20,1,-0.402075307
5304,5182,564,0,0.117274165,0.017432647,0.833597481,0.296934862,21.29999924,0,1.226036184
129,38,499,0.038709678,0.019354839,0.019354839,0.901075244,0.018382353,3.799999952,1,0.955900983
3629,3028,558,0.001883239,0.001883239,0.013182675,0.939736366,0.255691767,15,1,0.039521085
